url,name,playcount
"/authors/6","Chikamatsu Monzaemon",26
"/authors/19","Miyoshi Shōraku",21
"/authors/4","Chikamatsu Hanji",14
"/authors/41","Takemoto Saburobei",11
"/authors/58","Wakatake Fuemi",9
"/authors/25","Namiki Senryū (See also Namiki Namiki Sōsuke)",9
"/authors/34","Suga Sensuke",9
"/authors/40","Takeda Koizumo",9
"/authors/17","Matsuda Bunkōdō",8
"/authors/59","Kitamado Goichi",5
"/authors/52","Takeda Izumo, II",5
"/authors/27","Namiki Sōsuke (See also Namiki Senryū)",5
"/authors/56","Namiki Gohei",4
"/authors/1","Asada Icchō",4
"/authors/64","Sagawa Tōta",4
"/authors/65","Chikamatsu Baishiken",4
"/authors/68","Yatami Heishichi",4
"/authors/10","Hasegawa Senshi",4
