---
layout: null
---
url,name,playcount
"{{ site.baseurl }}/authors/6","Chikamatsu Monzaemon",26
"{{ site.baseurl }}/authors/19","Miyoshi Shōraku",21
"{{ site.baseurl }}/authors/4","Chikamatsu Hanji",14
"{{ site.baseurl }}/authors/41","Takemoto Saburobei",11
"{{ site.baseurl }}/authors/58","Wakatake Fuemi",9
"{{ site.baseurl }}/authors/25","Namiki Senryū (See also Namiki Namiki Sōsuke)",9
"{{ site.baseurl }}/authors/34","Suga Sensuke",9
"{{ site.baseurl }}/authors/40","Takeda Koizumo",9
"{{ site.baseurl }}/authors/17","Matsuda Bunkōdō",8
"{{ site.baseurl }}/authors/59","Kitamado Goichi",5
"{{ site.baseurl }}/authors/52","Takeda Izumo, II",5
"{{ site.baseurl }}/authors/27","Namiki Sōsuke (See also Namiki Senryū)",5
"{{ site.baseurl }}/authors/56","Namiki Gohei",4
"{{ site.baseurl }}/authors/1","Asada Icchō",4
"{{ site.baseurl }}/authors/64","Sagawa Tōta",4
"{{ site.baseurl }}/authors/65","Chikamatsu Baishiken",4
"{{ site.baseurl }}/authors/68","Yatami Heishichi",4
"{{ site.baseurl }}/authors/10","Hasegawa Senshi",4
